NOTE: Units are cm (in the final.mac ansys
file they are in mm)

1    (0,  1.35,	 0)
2    (0,	0.603738354,	1.207476708)
3    (1.148378591,	0.603738354,	0.373130823)
4    (0.709737001,	0.603738354,	-0.976869177)
5    (-0.709737001,	0.603738354,	-0.976869177)
6    (-1.148378591,	0.603738354,	0.373130823)
7    (0.709737001,	-0.603738354,	0.976869177)
8    (1.148378591,	-0.603738354,	-0.373130823)
9    (1.47934E-16,	-0.603738354,	-1.207476708)
10   (-1.148378591,	-0.603738354,	-0.373130823)
11   (-0.709737001,	-0.603738354,	0.976869177)
